solver,dim,fid,iid,repl,prec,y.opt,y,diff,fevals,succ
BSqi,2,1,1,1,-7,79.48,79.48,0,11,TRUE
CMA-CSA,2,1,1,1,-7,79.48,79.48000001,1.145183148e-8,248,TRUE
fmincon,2,1,1,1,-7,79.48,79.48,4.069704573e-9,16,TRUE
HCMA,2,1,1,1,-7,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-7,79.48,79.48,4.069704573e-9,16,TRUE
BSqi,2,1,1,1,-6,79.48,79.48,0,11,TRUE
CMA-CSA,2,1,1,1,-6,79.48,79.48000078,7.774170854e-7,233,TRUE
fmincon,2,1,1,1,-6,79.48,79.48000025,2.496043265e-7,13,TRUE
HCMA,2,1,1,1,-6,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-6,79.48,79.48000025,2.496043265e-7,13,TRUE
BSqi,2,1,1,1,-5,79.48,79.48,0,11,TRUE
CMA-CSA,2,1,1,1,-5,79.48,79.48000788,7.882857417e-6,193,TRUE
fmincon,2,1,1,1,-5,79.48,79.48000427,4.267692617e-6,10,TRUE
HCMA,2,1,1,1,-5,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-5,79.48,79.48000427,4.267692617e-6,10,TRUE
BSqi,2,1,1,1,-4,79.48,79.48,0,11,TRUE
CMA-CSA,2,1,1,1,-4,79.48,79.48003729,3.729471236e-5,152,TRUE
fmincon,2,1,1,1,-4,79.48,79.4800141,1.410129148e-5,7,TRUE
HCMA,2,1,1,1,-4,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-4,79.48,79.4800141,1.410129148e-5,7,TRUE
BSqi,2,1,1,1,-3,79.48,79.48,0,11,TRUE
CMA-CSA,2,1,1,1,-3,79.48,79.48082938,8.293824147e-4,93,TRUE
fmincon,2,1,1,1,-3,79.48,79.4800141,1.410129148e-5,7,TRUE
HCMA,2,1,1,1,-3,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-3,79.48,79.4800141,1.410129148e-5,7,TRUE
BSqi,2,1,1,1,-2,79.48,79.48,0,11,TRUE
CMA-CSA,2,1,1,1,-2,79.48,79.4848962,0.004896196152,85,TRUE
fmincon,2,1,1,1,-2,79.48,79.4800141,1.410129148e-5,7,TRUE
HCMA,2,1,1,1,-2,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-2,79.48,79.4800141,1.410129148e-5,7,TRUE
BSqi,2,1,1,1,-1,79.48,79.49812559,0.01812559183,9,TRUE
CMA-CSA,2,1,1,1,-1,79.48,79.51457901,0.03457900646,49,TRUE
fmincon,2,1,1,1,-1,79.48,79.4800141,1.410129148e-5,7,TRUE
HCMA,2,1,1,1,-1,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,-1,79.48,79.4800141,1.410129148e-5,7,TRUE
BSqi,2,1,1,1,0,79.48,79.49812559,0.01812559183,9,TRUE
CMA-CSA,2,1,1,1,0,79.48,79.59397817,0.113978166,13,TRUE
fmincon,2,1,1,1,0,79.48,79.4800141,1.410129148e-5,7,TRUE
HCMA,2,1,1,1,0,79.48,79.48,0,6,TRUE
HMLSL,2,1,1,1,0,79.48,79.4800141,1.410129148e-5,7,TRUE
