dim,fid,BSqi,BSrr,CMA-CSA,fmincon,fminunc,HCMA,HMLSL,IPOP400D,MCS,MLSL,OQNLP,SMAC-BBOB
2,1,1.7666666666666666,1.7666666666666666,13.666666666666666,1.8666666666666665,1.1666666666666667,1,1.8666666666666665,11.533333333333331,2.6,1.8666666666666665,3.0666666666666664,2.4
3,1,2.1,2.1,20.075,1.925,1.125,1,1.925,16.525,2.375,1.925,2.875,3.45
5,1,2.35,2.35,21.116666666666667,2.183333333333333,1.0833333333333333,1,2.183333333333333,20.716666666666665,2.6333333333333333,2.183333333333333,2.5166666666666666,3.3000000000000003
10,1,2.428571428571429,2.428571428571429,26.696428571428573,2.205357142857143,1.0267857142857144,1,2.205357142857143,22.589285714285715,2.232142857142857,2.205357142857143,1.973214285714286,6.544642857142858
2,2,1,1.2524271844660193,17.21359223300971,1.9514563106796117,4.475728155339806,9.233009708737862,1.9514563106796117,22.310679611650485,3.155339805825242,1.9514563106796117,2.4757281553398056,Inf
3,2,1,1.2056737588652482,20.900709219858157,2.638297872340426,6.361702127659575,6.950354609929078,2.638297872340426,28.02836879432624,5.76595744680851,2.638297872340426,3.106382978723404,Inf
5,2,1,1.407563025210084,26.470588235294116,3.26890756302521,11.239495798319329,3.8403361344537816,3.7899159663865545,35.214285714285715,6.088235294117647,3.7899159663865545,4.243697478991597,Inf
10,2,1,1.4733475479744136,38.362473347547976,7.093816631130064,27.2409381663113,3.727078891257996,7.240938166311301,81.42857142857143,15.38805970149254,7.240938166311301,6.021321961620469,Inf
2,3,1,1.0719602977667495,45.36724565756824,28.208436724565757,26.20099255583127,2.741935483870968,8.826302729528535,23.145161290322584,8.635235732009926,26.88089330024814,13.468982630272953,Inf
3,3,1.043609022556391,1,100.66015037593984,183.9436090225564,519.7518796992481,5.05563909774436,11.548872180451127,Inf,76.7578947368421,159.81954887218046,38.443609022556394,Inf
5,3,1.0661559888579388,1,923.8022284122565,Inf,Inf,1.6392757660167132,20.11908077994429,Inf,Inf,Inf,Inf,Inf
10,3,1.026743075453677,1,Inf,Inf,Inf,2.0312002546959564,118.00647352223284,Inf,Inf,Inf,Inf,Inf
2,4,1,1.0364372469635628,192.2591093117409,19.356275303643727,24.34412955465587,4.101214574898785,56.73481781376518,29.80769230769231,13.73684210526316,42.91902834008097,61.96356275303644,Inf
3,4,1.147540983606557,1,Inf,233.1329690346084,130.2504553734062,1765.8674863387978,13.683970856102004,Inf,143.64754098360658,110.49635701275048,Inf,Inf
5,4,1.0723981900452488,1,Inf,Inf,Inf,51.82435211846976,55.78774167009461,Inf,Inf,Inf,Inf,Inf
10,4,1.2232627832927516,1,Inf,Inf,Inf,4.014422176437535,Inf,Inf,Inf,Inf,Inf,Inf
2,5,1.318181818181818,1.318181818181818,5.545454545454545,3.8636363636363633,2.954545454545454,1.4545454545454546,3.8636363636363633,5,1,3.8636363636363633,4.090909090909091,1.1818181818181817
3,5,1.3939393939393938,1.3939393939393938,7.424242424242425,4.3939393939393945,3.181818181818182,1.6060606060606062,4.3939393939393945,7.757575757575759,1,4.3939393939393945,3.0303030303030303,1.2121212121212122
5,5,1.4583333333333337,1.4583333333333337,6.062500000000001,5.729166666666667,3.229166666666667,1.625,5.729166666666667,6.854166666666667,1.0416666666666667,5.729166666666667,2.5,1
10,5,2.2968749999999996,2.2968749999999996,9.0625,9.53125,4.375,2.9375,9.53125,9.515625,1.5781249999999998,9.53125,2.65625,1
2,6,177.94780545670227,275.08303677342826,4.854092526690391,1,2.0035587188612096,5.999999999999999,1,3.807829181494662,40.455516014234874,1,1.686832740213523,Inf
3,6,202.82996894409936,579.8136645962733,2.576086956521739,1,2.1071428571428568,4.211180124223602,1.062111801242236,3.0931677018633534,103.72864906832297,1.062111801242236,2.3260869565217392,Inf
5,6,318.5434894493052,Inf,1.9300051466803911,1.1605764282038085,2.979413278435409,2.2784354091610908,1,2.051466803911477,44.812789500772,1,1.7400926402470407,Inf
10,6,Inf,Inf,1.2120005139406398,1.1084414750096363,2.3863548760118207,1.8208916870101504,1,1.2267763073365026,58.127971219324174,1,3.1519979442374404,Inf
2,7,Inf,Inf,1,70.9614973262032,72.0855614973262,1.1614973262032084,3.037433155080214,1.9336898395721929,2.263101604278075,93.26381461675578,1.7850267379679146,3.4759358288770055
3,7,265.0902737332557,282.2888759464182,1,150.96097845078626,Inf,1.033779848573093,4.464181712288876,1.470005824111823,5.649388468258591,Inf,5.346534653465346,Inf
5,7,Inf,Inf,1,Inf,Inf,1.2735042735042734,5.937179487179487,1.4895299145299146,67.375,Inf,Inf,Inf
10,7,Inf,Inf,1.2075044069503902,Inf,Inf,1,12.691954167715942,Inf,Inf,Inf,Inf,Inf
2,8,508.3549783549783,389.7619047619048,12.16017316017316,1.5974025974025972,1.4112554112554112,8.29004329004329,1.5974025974025972,7.926406926406925,1,1.5974025974025972,1.5151515151515151,Inf
3,8,279.8004987531172,557.0635910224439,7.394014962593516,1,1.4488778054862843,5.112219451371571,1,12.069825436408976,13.887780548628427,1,1.4089775561097255,Inf
5,8,Inf,Inf,5.733168622606548,1.239654107473749,1,2.3656578134651016,1.5497220506485485,4.578752316244595,1.1964175416924026,1.2032118591723286,1.0166769610870907,Inf
10,8,Inf,184.47184466019417,4.356893203883495,1.1085436893203884,1.2996116504854367,1.7363106796116503,1.5036893203883497,6.598381877022654,1.517864077669903,1.1161165048543689,1,Inf
2,9,Inf,1477.7575757575758,11.424242424242424,1,1.2666666666666666,7.757575757575758,1,9.163636363636362,1.3272727272727272,1,1.1393939393939394,Inf
3,9,577.0103857566766,Inf,7.955489614243324,1.0682492581602372,1,7.474777448071216,1.0682492581602372,9.495548961424332,2.359050445103857,1.0682492581602372,1.056379821958457,Inf
5,9,Inf,Inf,13.81831610044313,1.137370753323486,1,9.676514032496309,1.137370753323486,11.50516986706056,1.9453471196454943,1.137370753323486,1.0827178729689808,Inf
10,9,Inf,Inf,10.428715365239292,1.1944584382871537,1,4.064987405541562,1.201007556675063,29.564231738035264,2.50176322418136,1.201007556675063,1.0493702770780855,Inf
2,10,Inf,515.034965034965,12.685314685314683,1,3.6433566433566433,6.769230769230768,1,16.2027972027972,381.3216783216783,1,4.524475524475524,Inf
3,10,Inf,Inf,10.138047138047138,1,3.28956228956229,5.148148148148149,1,13.676767676767676,Inf,1,10.72053872053872,Inf
5,10,Inf,Inf,9.87459283387622,1,6.679153094462541,4.0667752442996745,1.0521172638436482,14.040716612377851,Inf,1.0521172638436482,5.239413680781759,Inf
10,10,Inf,Inf,7.558070025619129,1.195132365499573,8.692997438087106,1.7877882152006832,1,Inf,Inf,1,13.125106746370625,Inf
2,11,295.036496350365,149.23357664233578,12.795620437956206,1,2.7080291970802923,7.583941605839417,1,19.547445255474457,621.3138686131388,1,13.226277372262771,Inf
3,11,Inf,Inf,18.021505376344084,1,13.284946236559138,7.456989247311827,1,23.51075268817204,3669.032258064515,1,18.161290322580644,Inf
5,11,Inf,Inf,17.513422818791945,1.0402684563758389,49.06375838926174,7.496644295302014,1,30.013422818791945,Inf,1,38.20469798657718,Inf
10,11,Inf,Inf,14.091015169194865,1.0105017502917153,64.135355892648775,4.9708284714119015,1,33.4816219369895,Inf,1,29.364060676779463,Inf
2,12,153.62958715596326,40.57721712538226,5.885321100917431,1,1.4908256880733946,8.197247706422017,1,4.873853211009174,28.05963302752294,1,2.3256880733944953,Inf
3,12,Inf,46.82504440497336,6.798401420959148,1,1.372113676731794,4.129662522202487,1.011545293072824,10.627590290112494,2.2140319715808174,1.011545293072824,13.99644760213144,Inf
5,12,65.24891101431238,Inf,7.1729931549471075,1.0510267579340389,1,2.2115743621655257,1.014312383322962,10.88778261771417,20.84380833851898,1.014312383322962,3.662725575606721,Inf
10,12,Inf,Inf,7.919928427644821,1.3618877208678146,1,1.279803176023261,1.3545068217401028,23.40080518899575,18.72131514202639,1.3545068217401028,13.644822187430105,Inf
2,13,1091.6028708133972,Inf,6.588516746411483,1,304.09090909090907,4.473684210526316,1,9.15311004784689,580.9968102073366,1,2.971291866028708,Inf
3,13,Inf,109.23847695390782,5.573146292585171,1,1.284569138276553,3.304609218436874,1,7.679358717434869,292.4515698062793,1,2.5110220440881763,Inf
5,13,Inf,Inf,4.344235486508585,1,1.250204415372036,1.7882256745707277,1.0024529844644317,6.863450531479967,Inf,1.0024529844644317,5.233851185609158,Inf
10,13,Inf,Inf,7.23377703826955,1.0171935662784248,1.3496949528563504,1.012756516916251,1,10.185339249399147,Inf,1,2.778147531891292,Inf
2,14,15.345132743362832,12.513274336283184,3.734513274336283,1,1.3982300884955752,4.4159292035398225,1,3.769911504424779,1.7876106194690264,1,1.4690265486725664,4.849557522123893
3,14,20.193370165745858,23.69060773480663,4.138121546961326,1,1.1104972375690607,4.8397790055248615,1,6.077348066298342,9.408839779005524,1,1.3535911602209945,5.889502762430938
5,14,27.833935018050543,40.13357400722022,5.675090252707581,1,1.5342960288808665,5.487364620938628,1,6.238267148014441,4.025270758122744,1,1.3971119133574008,Inf
10,14,34.9700272479564,37.53133514986376,5.295640326975477,1,1.730245231607629,4.727520435967302,1,5.147138964577657,3.88283378746594,1,1.1730245231607628,Inf
2,15,41.6934705693149,Inf,2.4593116757799938,1.1222257960759086,4.963975554840785,1.5422965583789,2.4200707623029913,2.2651978128015435,2.33097458990029,4.135734963010615,1,Inf
3,15,Inf,Inf,1.4450230912842683,4.9629065539943005,8.84666404637909,2.194752874127935,3.8529281713668073,3.530509973469588,4.466443942222659,7.517113753234416,1,Inf
5,15,Inf,Inf,1.160823363117775,Inf,Inf,1,4.663757635418244,Inf,Inf,Inf,Inf,Inf
10,15,Inf,Inf,1.121873329394221,Inf,Inf,1,Inf,Inf,Inf,Inf,Inf,Inf
2,16,34.50663349917082,50.01658374792704,4.211442786069652,24.341832504145938,34.414593698175786,1.727197346600332,11.121890547263682,1,5.794361525704809,17.123548922056386,18.26838032061913,Inf
3,16,57.80071467839472,Inf,1.8814733369983505,111.06267179769104,101.3741066520066,2.0960417811984606,25.50560747663551,1,19.24539582188015,98.78807036833425,Inf,Inf
5,16,Inf,Inf,1,Inf,Inf,2.379239735377507,Inf,Inf,Inf,Inf,Inf,Inf
10,16,Inf,Inf,1.9283851646036645,Inf,Inf,1,Inf,Inf,Inf,Inf,Inf,Inf
2,17,23.833025830258304,27.443331576172906,1.441222983658408,243.26568265682656,43.74275171323142,2.07380073800738,8.139167105956775,1,3.9499209277807066,245.9910384818134,7.669478123352663,Inf
3,17,46.81047197640118,40.15363815142576,1.755653883972468,Inf,Inf,3.430678466076696,11.355457227138642,1,18.926745329400195,Inf,48.10963618485742,Inf
5,17,Inf,Inf,3.66989563821247,Inf,Inf,2.232164838105432,14.628204442065828,1,Inf,Inf,Inf,Inf
10,17,Inf,Inf,3.314386896857016,Inf,Inf,5.573675667699573,18.69818503762727,1,Inf,Inf,Inf,Inf
2,18,Inf,Inf,1,Inf,Inf,3.260463507436873,17.696644759598755,2.893462469733656,19.491179522656516,Inf,Inf,Inf
3,18,Inf,Inf,1,Inf,Inf,1.9885469849592932,7.883262039464605,Inf,Inf,Inf,Inf,Inf
5,18,Inf,Inf,1.1539660884817775,Inf,Inf,1,9.292474663808225,Inf,Inf,Inf,Inf,Inf
10,18,Inf,Inf,1.0923622047244097,Inf,Inf,1,52.96488188976378,Inf,Inf,Inf,Inf,Inf
2,19,242.43125,93.55,64.20625,1,64.85625,118.1125,1,70.5625,6.75,1,38.6484375,12.625
3,19,5.679252024773702,19.867079561696045,1.6754645069080516,9.271438780371604,6.424547403525488,3.4461648404001908,8.397093854216294,1,1.6113387327298714,13.054549785612195,1.1121486422105764,Inf
5,19,Inf,Inf,8.270971132853562,Inf,Inf,14.862505053772136,11.809695156464786,Inf,Inf,Inf,1,Inf
10,19,Inf,Inf,1,Inf,Inf,1.512590895630429,Inf,Inf,Inf,Inf,Inf,Inf
2,20,16.11551064991808,9.89787001638449,3.959038776624795,3.804478427089023,2.925177498634626,18.32768978700164,2.7028945931185144,Inf,1,1.3937738940469688,3.985253959584927,Inf
3,20,18.792239756768495,11.8130881714203,2.7128999565658027,3.699638048356739,3.532676994353554,3.046648327783408,1,Inf,3.500796293615173,3.213261908209063,1.3764297089908786,Inf
5,20,Inf,Inf,3.216917354035258,Inf,Inf,6.8077147016011645,1,Inf,2.270176289826945,Inf,1.2184214782468057,Inf
10,20,Inf,Inf,2.0703121433028446,Inf,Inf,4.444940417307136,1,Inf,Inf,Inf,Inf,Inf
2,21,24.437217194570135,37.83182503770739,22.837104072398187,1.8778280542986423,1.5271493212669682,10.09049773755656,1.4570135746606334,4.522058823529411,27.398190045248867,1.0339366515837105,1.6266968325791855,1
3,21,136.08482142857142,170.38660714285712,3.4333928571428567,1.7860714285714283,1.5948214285714284,2.1841071428571426,1.684285714285714,2.774107142857143,5.022321428571428,1.2589285714285714,1.321205357142857,1
5,21,16.464586482401206,10.88479809976247,14.193478730295832,1.150075577629022,2.5430792485424316,24.39602677607428,1,5.903692507017922,6.868278989419132,2.7797451954221546,1.04351112070827,1.9671777153962424
10,21,Inf,73.83707389371162,17.214517608864423,2.367562989625238,2.8841837814948126,106.07209400804572,2.187380901969087,2.6873809019690875,14.573364387042131,1,1.2249629472792716,Inf
2,22,313.02547770700636,414.2547770700637,36.250955414012736,1.1847133757961783,1.5044585987261143,7.039490445859873,1.535031847133758,6.117834394904459,8.363057324840764,1.570700636942675,1.8242038216560508,1
3,22,173.71832005792905,230.81100651701664,247.9459328988656,1,1.3403330919623462,77.35916002896451,1.671976828385228,Inf,1.5858073859522086,3.057204923968139,1.2049239681390298,1.8356263577118028
5,22,180.61981184283343,172.12091864969562,285.60044272274484,1,1.1840066408411731,5.1502490315439955,1.7670171555063643,10.035971223021583,15.10348644161594,1.267017155506364,1.090550636413946,1.7722744881018264
10,22,Inf,Inf,Inf,2.8275042184384107,1.2661451142813316,5.705092805645038,1.477124558981439,Inf,9.018637827887712,1,2.557044792146035,Inf
2,23,62.12178877259752,Inf,6.089914367269267,1.7982873453853474,62.716460513796385,5.6560418648905815,1.6065651760228354,5.435299714557565,14.572312083729782,1,4.843601332064701,Inf
