dim,fid,basic.dim,basic.observations,basic.objective_min,basic.objective_max,basic.cells_total,basic.cells_filled,cm_angle.dist_ctr2best.mean,cm_angle.dist_ctr2best.sd,cm_angle.dist_ctr2worst.mean,cm_angle.dist_ctr2worst.sd,cm_angle.angle.mean,cm_angle.angle.sd,cm_angle.y_ratio_best2worst.mean,cm_angle.y_ratio_best2worst.sd,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_conv.conv_prob,ela_conv.lin_prob,ela_conv.lin_dev.orig,ela_conv.lin_dev.abs,ela_curv.grad_norm.min,ela_curv.grad_norm.lq,ela_curv.grad_norm.mean,ela_curv.grad_norm.med,ela_curv.grad_norm.uq,ela_curv.grad_norm.max,ela_curv.grad_norm.sd,ela_curv.grad_scale.nas,ela_curv.hessian_cond.nas,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_local.n_loc_opt.abs,ela_local.n_loc_opt.rel,ela_local.best2mean_contr.orig,ela_local.basin_sizes.avg_best,ela_local.basin_sizes.avg_non_best,ela_local.basin_sizes.avg_worst,ela_local.fun_evals.min,ela_local.fun_evals.lq,ela_local.fun_evals.mean,ela_local.fun_evals.median,ela_local.fun_evals.uq,ela_local.fun_evals.max,ela_local.fun_evals.sd,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.h.max,ic.eps.s,ic.eps.ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
2,1,2,100,-25.1832219182278,67.7283001584372,9,9,1.56990786731276,0.4070470686392203,1.7301022569457802,0.19682666027189152,157.36934024877647,18.34808744602466,0.34422002320306366,0.1782239004677816,0.1912956558607296,0.25508305048618063,0.33088913731125347,0.5058721567986881,0.19535819805499463,0.2337936346221508,0.3141166205036202,0.5037032063983823,-4.255071287565725,-3.919448122751072,-3.5205875183661735,-2.5998984835805357,-4.145654664162041,-3.947628602766059,-3.5337905940346985,-2.5570074935577782,1,0,-5.773465310707312,5.773465310707312,0.7524761349963527,6.513769807795928,9.99798539760493,10.011490607242305,13.563235235432924,19.2850512218199,4.57238405361471,0,0,0.7329293211219218,-0.4422015694950887,2,0.1,0.06,0.06,1.5,1.6666666666666663,1.2857142857142858,0.19,0.11,0.08,1.8000000000000005,2.8333333333333335,1.375,0.14,0.11,0.06,2,1.8333333333333333,90,0.9,1,0.01111111111111111,0,0.01111111111111111,15,20,19.55,20,20,25,2.5741527977691274,0.7816991025267971,4.900325216179459,0.6560943262301824,7.107105673769814,5.902858155107457,0.7806865487387855,1,1.0000000000000009,1,0.7159435893068996,1.2262262262262258,0.7257257257257255,0.3775510204081632,0.9582019216579584,0.902552339022432,0.6528800231108336,0.1566893442039991,-0.30454059313832227,1,1,0.3333333333333333,0.6666666666666666,0.5060990948355608,0.506091976866185,0.9823269805067018,0.6306788216343682
3,1,3,150,-24.748660269484255,78.70557425872522,27,27,1.6445269294626637,0.410669644620253,1.803770223278535,0.4114934769597845,119.80523430211436,28.60353813166103,0.2705592964430602,0.11719240815735547,0.306321339559741,0.3922625047479634,0.47642610629731175,0.6329749815252411,0.2909904586637152,0.3751791024371077,0.48183765984047777,0.6172532869285104,-4.613387997140873,-4.041826606326269,-3.4820871025371796,-2.440941189984443,-4.721622076352244,-4.160971004902041,-3.450682398181055,-2.548887179548478,1,0,-8.32325377205333,8.32325377205333,1.8833820347555712,8.77592891189599,11.9312774479293,12.06643659980218,15.30957435349438,20.65696288980295,4.43625559248289,0,0,0.5727694329890811,-0.4180950289092049,1,0.10666666666666666,0.06666666666666667,0.05333333333333333,1.7,2.125,1.25,0.18,0.11333333333333331,0.1,1.6470588235294117,1.6,0.894736842105263,0.14,0.12,0.12666666666666668,1.3125,1,135,0.9,1,0.00747967479674796,0.00666666666666666,0.00666666666666666,21,28,27.673333333333332,28,28,35,2.1966926532802424,0.753822298290642,15.213563899081567,0.5355049571102402,7.566895042889756,6.406618681187552,0.7532070439448947,1,1.0000000000000009,1,0.8090734048445839,1.2062062062062058,0.7257257257257255,0.42567567567567566,1.0404059959296246,0.9425100043727604,0.6923019563843359,0.1115100382910854,-0.3952019632125507,1,1,0.25,0.75,0.3559097188228073,0.35588578392612635,0.9744253113219684,0.4660669242737338
5,1,5,250,-22.47371849372876,147.66108519235382,243,179,7.937392394251035,2.2580660638927887,8.201696191089535,2.2921669933650755,8.737374237816514,14.834329789967429,0.04016363535959579,0.07483670235567451,0.47276427815040795,0.5400983864407978,0.6380104149222945,0.7679586071059049,0.4544740555799672,0.5231465287015034,0.6272234720692877,0.7672923369409411,-4.6478155624284225,-4.05423568264252,-3.191097942034234,-2.0455472805167965,-4.82710618017208,-4.219455301596385,-3.298526679075673,-2.059122228769538,1,0,-14.07746835711018,14.07746835711018,4.00026024121899,13.856606456326524,16.833383893330446,16.908258705743805,19.968511929313404,27.441887820385457,4.516656609991157,0,0,0.4565521722321035,-0.29507123591307494,1,0.068,0.072,0.064,1.2142857142857144,1.173913043478261,0.8999999999999999,0.156,0.108,0.116,1.3448275862068966,1.3448275862068966,1,0.14400000000000002,0.124,0.132,0.9487179487179488,0.84375,225,0.9,1,0.00444843049327354,0.004,0.004,33,44,47.784,44,55,55,2.494398544015279,0.8064665577309524,47.42603129417747,0.8313380987303128,7.6278905685527,6.99754534111367,0.805424202923275,1,1.000000000000001,1,0.8254793806722558,1.2062062062062058,0.7457457457457455,0.5040322580645161,0.8738760431595264,0.963595978149574,0.6069456236938996,0.06604436843607832,-0.4403834239499071,1,1,0.16666666666666666,0.8333333333333334,0.22752015221847527,0.22758728582038049,0.9756736451762676,0.31752218148632
10,1,10,500,6.0244188074777085,280.8225989829035,59049,499,12.982629901511531,2.254857723233325,12.984658798966864,2.2552231792811273,0.04637828510131191,1.036012412638163,2.963732746902813e-4,0.006620477464456,0.6570779219028368,0.714671982576315,0.7390409298281622,0.8322237490079707,0.6682892042218155,0.7190038275170629,0.7416922596134848,0.8308340869221216,-4.343850785432563,-3.614297275547866,-3.305611782775051,-2.1252495718346864,-4.217829264750543,-3.572973489756313,-3.284481423518029,-2.151009095450874,1,0,-27.94938441833344,27.94938441833344,10.435027846482992,19.490542339364044,22.620919258582777,22.704960099241102,25.878023497980365,36.37481841540752,4.5555813007228805,0,0,0.4574251534066375,0.19661223252264737,1,0.094,0.068,0.084,1.205128205128205,1.032258064516129,0.8666666666666667,0.134,0.116,0.122,1.1886792452830188,1.098360655737705,0.9298245614035088,0.16999999999999998,0.16,0.174,0.9866666666666668,0.8804347826086957,450,0.9,1,0.00222321428571428,0.002,0.002,84,84,99.54,105,105,105,9.220544282944878,0.7772700779971987,107.38559882955776,0.4662043092055603,8.505657411460895,14.118009509598949,0.7897925789849394,1,1.000000000000003,1,0.8346200235199378,1.2462462462462458,0.7257257257257255,0.5502008032128514,0.290720730867972,0.9640711646259824,0.24968755101863557,0.067700137630742993,-0.4278760016866784,0.9,0.9,0.09090909090909093,0.8181818181818182,0.1453218899110827,0.1453287361576889,0.9743028082496524,0.18236216005425657
2,2,2,100,1011.6418938436748,58181579.59722823,9,9,1.4490991202155967,0.4418497327116203,1.7065259040679377,0.192268127071666,144.1445280514397,20.34954587157516,0.3290518447171681,0.23157904098778895,0.6745462419621696,0.6452214430215408,0.6502409764131566,0.708588561028956,0.688871567634747,0.6122373787900953,0.5999648586546922,0.6354175161198808,-1.712404479205626,-1.8666995697293625,-1.8402888393228451,-1.5332877284759086,-1.6029878558019424,-1.9978205399231912,-2.0610507004957266,-1.8783924363809028,0.924,0,-2631855.255296963,2648526.1008767583,66637.39397894863,2773017.354678901,6544859.77688093,6051280.13742183,8908851.816268519,17361085.845205467,5154903.81245374,0,0,0.8481598053875559,-0.45461852022118743,2,0.11,0.04,0.11,2.75,1,0.3636363636363637,0.25,0.09,0.06,2.5,2.3333333333333335,0.8333333333333333,0.02,0.02,0.03,0.75,1,90,0.9,1.021011731758403,0.02,0.01101123595505618,0.01,100,170,233.1,245,265,485,68.23775651456761,0.8141279543364504,14302049.423264366,108278.7084897605,4933957.090103007,46.74609674316106,0.8123831185563102,0.9976501104435114,107.28540125105376,0.9979015996389295,0.651896075325339,7.212212212212211,6.491491491491491,0.3877551020408163,0.413066459493957,0.8464641188682199,0.3078062767854373,0.19378450904755332,-0.21117466703669652,1,1,0.3333333333333333,0.6666666666666666,0.5060990948355608,0.506091976866185,0.9999999999999614,0.6351013688323358
3,2,3,150,4304.413990459847,35178274.558490954,27,27,1.798295409738146,0.3637793778305597,1.6660176780266835,0.4234584264161496,122.7780084715169,32.89606400319872,0.33062846889332104,0.1869163396330598,0.8289921882448092,0.8573542125135648,0.8422341432432205,0.8174087161166631,0.779010658807817,0.8570844335239893,0.815163659476263,0.7975713385644169,-1.137306697121133,-0.948681862888736,-1.0492395851682037,-1.2143438821014074,-1.4716701132751746,-0.951740779758368,-1.2309105802500069,-1.3480659723129866,0.938,0,-2481957.075042875,2484235.6559662935,17092.11527492312,2778835.0267529804,4873417.492153566,4632364.403425105,7826603.906342411,10264630.566834591,2902631.8886825307,0,0,1.0306198546229703,-0.10956989321483056,3,0.1,0.08,0.10666666666666666,1.25,0.9375,0.7647058823529411,0.2866666666666667,0.14666666666666667,0.06666666666666667,1.9545454545454544,4.300000000000001,2.2,0.26666666666666666,0.11333333333333331,0.07333333333333333,3.0769230769230766,1.3076923076923077,135,0.9,1.0083419254946209,0.00666666666666666,0.00741293532338308,0.00666666666666666,182,344.75,425.50666666666666,427,490,833,123.26217035173862,0.49693725114298,9656592.058782147,10871.743536016736,2426044.9631917337,175.2651651142052,0.4875459794263095,0.9967766889117488,1369.3791585505624,0.9979997991105304,0.7615528529977215,6.911911911911911,6.291291291291291,0.4797297297297297,0.4607053417829902,0.8964045476121271,0.33346733512318305,0.1573146446710381,-0.3426653447980682,1,1,0.25,0.75,0.3559097188228073,0.35588578392612635,0.999999999999784,0.4318743976904
5,2,5,250,27233.537424286813,40344517.84490813,243,179,8.059738462731003,2.269975042553475,8.100680093960836,2.27826105585754,8.803704315715795,14.871703171830632,0.06629181171315998,0.13580483349300437,0.7604201069945604,0.8099347272902602,0.8219695491989307,0.8749136649490517,0.7493332673632718,0.7927963949816621,0.8054015305599126,0.8730969247051871,-2.1120024858127504,-1.6755092566158494,-1.5694169904053092,-1.1026912453075155,-2.218033709763666,-1.8334486426695864,-1.721911641590073,-1.122906481908359,0.966,0,-2798249.664203852,2805315.842730121,72825.23915578754,2757761.0593997124,5073026.273821302,4692640.514254119,7884375.325404122,12121933.90134211,3165744.144835535,0,0,0.847810828371593,-0.6879958766658021,7,0.104,0.076,0.108,1.368421052631579,1,0.7037037037037037,0.252,0.12,0.08,1.909090909090909,3.705882352941176,1.5,0.168,0.128,0.068,1,1.2,225,0.9,1.0100180230735796,0.008,0.00442857142857142,0.004,440,880,1061.544,1039.5,1218.25,2057,275.9697923344591,0.6572720822956761,11347519.069565184,102800.10842582068,3233213.478660132,35.9134669718796,0.6485273668677267,0.9981813588419052,409.5570084507005,0.9984899270406816,0.8235810639826475,6.831831831831831,6.271271271271271,0.5725806451612904,0.4925257664845382,0.9329840989306908,0.3790055985809871,0.10585079425038064,-0.34888599045118246,1,1,0.16666666666666666,0.8333333333333334,0.22752015221847527,0.22758728582038049,0.999999999999728,0.30437378989014124
10,2,10,500,199555.2961212283,61283699.2833159,59049,499,12.982629901511531,2.254857723233325,12.984658798966864,2.2552231792811273,0.04637828510131188,1.036012412638162,8.402981555259479e-4,0.01877083892904029,0.8484294174307675,0.8872299769869387,0.8778949144538086,0.9088758293413776,0.8767535341750322,0.8927104484463654,0.8766944989607094,0.9085943266959284,-1.919969684644455,-1.4284765674951352,-1.5467253514218149,-1.1542849690045165,-1.567125812453929,-1.364227562395916,-1.567876467716859,-1.1622579932066692,0.995,0,-3381945.2237109984,3382401.7573140496,287021.9608431971,3232631.44329721,6205668.527264065,6317987.630240719,8223904.226037735,16833205.99156454,3845288.686377339,0,0,0.90348268199816,-0.258278362513495,6,0.108,0.07,0.112,1.5714285714285714,0.9821428571428572,0.6206896551724137,0.21,0.132,0.122,1.8421052631578947,1.2499999999999998,0.7628865979381443,0.046,0.052,0.048,1.0454545454545454,1.1578947368421053,450,0.9,1.7272117499133537,0.004,0.00221826280623608,0.002,2436,2688,2789.85,2793,2877,3444,137.25046023116766,0.8127752593581479,16640728.781115543,35214.57307841693,4715829.268017489,141.5595581455043,0.8209657862993526,0.9981648799375524,6340.883172175573,0.997321092057508,0.8001590030123376,6.751751751751751,6.051051051051051,0.54216867469879515,0.16505411520475,0.936358461887503,0.18083507159541445,0.1020935624749778,-0.3424596827501921,0.9,0.9,0.09090909090909093,0.8181818181818182,0.1453218899110827,0.1453287361576889,0.9999999999996638,0.17860785849087735
2,3,2,100,88.31362511122282,1951.6034395930556,9,9,1.5719587936308097,0.3734212703363332,1.7104570735689433,0.16954565349574915,135.95728171267987,23.293663636457072,0.3140772838570222,0.3628582418368411,0.23522886367399484,0.39624537076937233,0.4222618501133951,0.5838421883146453,0.24022441456449892,0.4083379680074578,0.38622051042978145,0.5337594626484198,-4.023912728208847,-3.176709765678855,-3.039821698905674,-2.189652087850765,-3.914496104805163,-3.0483458063058926,-3.162298798736389,-2.4021524281000515,0.878,0,-102.0933302389828,104.07059457727937,15.100349759073293,105.10367022269594,337.5900480510673,175.0265799945007,355.044670089077,1791.761918394864,382.7887479248206,0,0,1.9888883372882944,3.079578547265138,8,0.1,0.08,0.09000000000000001,1.5,1.3333333333333333,1,0.26,0.14,0.09000000000000001,1.8125,3,1.222222222222222,0.23,0.14,0.1,2.7,1.7999999999999998,90,0.9,0.6078256542051753,0.01,0.01112359550561797,0.01,40,60,91.5,75,107.5,270,44.15022564203296,0.48295604249393864,373.7062494613375,8.938977593160558,100.532129037687,9.923784360732723,0.48011321460966383,0.9077483389819286,18.897283806415302,0.9855016959331664,0.7112045373176125,2.907907907907908,1.626626626626627,0.4387755102040816,0.6064770637372797,0.8688129115789487,0.411589377793686,0.1846631639526138,-0.2587104623004825,1,1,0.3333333333333333,0.6666666666666666,0.5060990948355608,0.506091976866185,0.9999269993643172,0.5696157120572375
3,3,3,150,99.10157443303032,914.7004909968848,27,27,1.660543279906366,0.34294632595503316,1.75325619805081,0.4054150980632096,115.71639331688267,28.410984149029822,0.2604384557622866,0.15105394430027386,0.573617890340671,0.5168348245648177,0.5767703921317268,0.6962156056109722,0.5208771907988599,0.4824540609644434,0.5498089265449333,0.6744426626975405,-2.8357022048934137,-3.2133443741435417,-2.8147361369526886,-2.0203523024675025,-3.190700126467019,-3.446577498338214,-2.9980303325621476,-2.1680367065704536,0.899,0,-61.81776547394892,63.48647461899709,27.895140978168012,128.55809630507804,219.5305284248851,196.23212104216455,276.3183253286866,698.1230307563068,125.38952372424636,0,0,0.9268888127514446,0.2947446153698272,4,0.10666666666666666,0.08,0.09333333333333334,1.6666666666666663,1.1764705882352942,0.9375,0.21333333333333332,0.11333333333333331,0.1,1.8823529411764703,2.3888888888888893,1.2222222222222223,0.18,0.14,0.12666666666666668,1.391304347826087,1.105263157894737,135,0.9,0.5192219163195055,0.00666666666666666,0.00741293532338308,0.00666666666666666,56,112,139.53333333333333,126,173.25,448,64.83897417994007,0.5854646053925935,351.93479120503355,5.2054433352189875,40.218107961698166,7.202194312377412,0.5801917358085507,0.9619988048002042,14.189157242177297,0.98739348580774,0.7650617089782983,2.2672672672672673,1.606606606606607,0.4527027027027027,0.7899863213613935,0.925549581030151,0.5595608181671543,0.12611491475931383,-0.3691232301980085,1,1,0.25,0.75,0.3559097188228073,0.35588578392612635,0.9994314373966208,0.4524805142859098
